,0
Siltation,0.06522213947301937
PoliticalFactors,0.06430229543398422
IneffectiveDisasterPreparedness,0.0634227437372259
TopographyDrainage,0.059101624972706046
PopulationScore,0.05763022673072169
Urbanization,0.057314340920874826
MonsoonIntensity,0.05615675780613605
CoastalVulnerability,0.05416865662789544
Encroachments,0.05377866262070459
Deforestation,0.05151826598817996
DeterioratingInfrastructure,0.04842524253933064
DrainageSystems,0.04647592799960894
Landslides,0.04558553155923842
AgriculturalPractices,0.043841946631416766
RiverManagement,0.04313404057457492
DamsQuality,0.041554504944026446
Watersheds,0.0412299523150319
WetlandLoss,0.037830529063383876
ClimateChange,0.03700701396894196
InadequatePlanning,0.03229959609299799
